                                                       1761conf_1.sum LIDI values in a Matrix 
                                                    Note the DI values are divided by 2

          C1        C2        O3        C4        C5        C6        C7        C8        C9        C10       C11       H12       H13       H14       H15       H16       H17       H18       H19       H20       H21       

C1    3.9688895 0.5041489 0.0321740 0.0055468 0.0008690 0.0011078 0.0003531 0.0013356 0.0036436 0.0255835 0.0067610 0.4784714 0.4717075 0.4690829 0.0000382 0.0001071 0.0000472 0.0000895 0.0090835 0.0006027 0.0006940
C2    0.5041489 3.5461155 0.4670512 0.0428138 0.0085098 0.0167365 0.0039334 0.0182024 0.0383499 0.7124136 0.0260554 0.0212040 0.0220604 0.0221590 0.0002855 0.0011319 0.0003172 0.0009382 0.0041737 0.0088045 0.0072245
O3    0.0321740 0.4670512 7.9588882 0.4560365 0.0435222 0.0104008 0.0093226 0.0081470 0.0667741 0.0870232 0.0080245 0.0058944 0.0034006 0.0036703 0.0045696 0.0010825 0.0006067 0.0014889 0.0004991 0.0028980 0.0022465
C4    0.0055468 0.0428138 0.4560365 3.5799563 0.6522899 0.0367211 0.0375976 0.0337624 0.5966592 0.0328898 0.0045495 0.0002786 0.0017839 0.0017917 0.0246081 0.0053490 0.0021525 0.0051686 0.0007765 0.0004812 0.0003734
C5    0.0008690 0.0085098 0.0435222 0.6522899 3.9278193 0.7162824 0.0365216 0.0497400 0.0276436 0.0033131 0.0005945 0.0000553 0.0003588 0.0003646 0.4809256 0.0249263 0.0047937 0.0028477 0.0001668 0.0001196 0.0001509
C6    0.0011078 0.0167365 0.0104008 0.0367211 0.7162824 3.9472750 0.6676449 0.0377699 0.0347282 0.0041205 0.0004081 0.0000437 0.0009643 0.0009554 0.0244073 0.4801596 0.0239210 0.0054402 0.0000540 0.0001922 0.0002336
C7    0.0003531 0.0039334 0.0093226 0.0375976 0.0365216 0.6676449 3.9525069 0.7232233 0.0332544 0.0101985 0.0005786 0.0000633 0.0001917 0.0001872 0.0053000 0.0238500 0.4817461 0.0260180 0.0000503 0.0003538 0.0004871
C8    0.0013356 0.0182024 0.0081470 0.0337624 0.0497400 0.0377699 0.7232233 3.9465716 0.6471028 0.0245266 0.0046586 0.0002403 0.0008046 0.0007941 0.0028589 0.0049516 0.0249647 0.4804213 0.0004886 0.0009929 0.0027805
C9    0.0036436 0.0383499 0.0667741 0.5966592 0.0276436 0.0347282 0.0332544 0.6471028 3.8815468 0.6041602 0.0225820 0.0008675 0.0005766 0.0005773 0.0046912 0.0018770 0.0049216 0.0233363 0.0047455 0.0034816 0.0037400
C10   0.0255835 0.7124136 0.0870232 0.0328898 0.0033131 0.0041205 0.0101985 0.0245266 0.6041602 3.8886311 0.5170805 0.0043939 0.0070048 0.0071155 0.0008290 0.0002883 0.0009471 0.0029213 0.0210257 0.0227185 0.0213345
C11   0.0067610 0.0260554 0.0080245 0.0045495 0.0005945 0.0004081 0.0005786 0.0046586 0.0225820 0.5170805 3.9746613 0.0009623 0.0023615 0.0026359 0.0002752 0.0000407 0.0000347 0.0039361 0.4743500 0.4740023 0.4733403
H12   0.4784714 0.0212040 0.0058944 0.0002786 0.0000553 0.0000437 0.0000633 0.0002403 0.0008675 0.0043939 0.0009623 0.4227784 0.0179695 0.0182662 0.0000092 0.0000055 0.0000167 0.0000203 0.0012359 0.0000381 0.0000789
H13   0.4717075 0.0220604 0.0034006 0.0017839 0.0003588 0.0009643 0.0001917 0.0008046 0.0005766 0.0070048 0.0023615 0.0179695 0.4159945 0.0175570 0.0000106 0.0000651 0.0000099 0.0000482 0.0043225 0.0004500 0.0003004
H14   0.4690829 0.0221590 0.0036703 0.0017917 0.0003646 0.0009554 0.0001872 0.0007941 0.0005773 0.0071155 0.0026359 0.0182662 0.0175570 0.4141372 0.0000112 0.0000649 0.0000100 0.0000460 0.0032788 0.0005091 0.0004684
H15   0.0000382 0.0002855 0.0045696 0.0246081 0.4809256 0.0244073 0.0053000 0.0028589 0.0046912 0.0008290 0.0002752 0.0000092 0.0000106 0.0000112 0.4290103 0.0036831 0.0008755 0.0002163 0.0000720 0.0000143 0.0000188
H16   0.0001071 0.0011319 0.0010825 0.0053490 0.0249263 0.4801596 0.0238500 0.0049516 0.0018770 0.0002883 0.0000407 0.0000055 0.0000651 0.0000649 0.0036831 0.4301396 0.0033027 0.0010461 0.0000062 0.0000174 0.0000316
H17   0.0000472 0.0003172 0.0006067 0.0021525 0.0047937 0.0239210 0.4817461 0.0249647 0.0049216 0.0009471 0.0000347 0.0000167 0.0000099 0.0000100 0.0008755 0.0033027 0.4309827 0.0034438 0.0000099 0.0000184 0.0000257
H18   0.0000895 0.0009382 0.0014889 0.0051686 0.0028477 0.0054402 0.0260180 0.4804213 0.0233363 0.0029213 0.0039361 0.0000203 0.0000482 0.0000460 0.0002163 0.0010461 0.0034438 0.4451443 0.0006546 0.0008224 0.0034050
H19   0.0090835 0.0041737 0.0004991 0.0007765 0.0001668 0.0000540 0.0000503 0.0004886 0.0047455 0.0210257 0.4743500 0.0012359 0.0043225 0.0032788 0.0000720 0.0000062 0.0000099 0.0006546 0.4351815 0.0188610 0.0180966
H20   0.0006027 0.0088045 0.0028980 0.0004812 0.0001196 0.0001922 0.0003538 0.0009929 0.0034816 0.0227185 0.4740023 0.0000381 0.0004500 0.0005091 0.0000143 0.0000174 0.0000184 0.0008224 0.0188610 0.4345615 0.0186285
H21   0.0006940 0.0072245 0.0022465 0.0003734 0.0001509 0.0002336 0.0004871 0.0027805 0.0037400 0.0213345 0.4733403 0.0000789 0.0003004 0.0004684 0.0000188 0.0000316 0.0000257 0.0034050 0.0180966 0.0186285 0.4312520
