

C1 3.9817418 0.5026695 0.0234977 0.0032974 0.0008040 0.0119019 0.0001646 0.0000499 0.0000093 0.0000031 0.0000074 0.4763887
C2 0.5026695 3.8686028 0.4968249 0.0348827 0.0030358 0.0035626 0.0004699 0.0000640 0.0000109 0.0000012 0.0000186 0.0231302
C3 0.0234977 0.4968249 3.5283872 0.4100005 0.0122009 0.0095835 0.0034954 0.0004838 0.0001501 0.0000131 0.0001349 0.0046380
O4 0.0032974 0.0348827 0.4100005 8.0264147 0.4288842 0.1540590 0.0342500 0.0046933 0.0008481 0.0000828 0.0008576 0.0005736
C5 0.0008040 0.0030358 0.0122009 0.4288842 2.9297748 0.6602594 0.4726520 0.0254605 0.0051396 0.0004519 0.0033075 0.0000917
O6 0.0119019 0.0035626 0.0095835 0.1540590 0.6602594 8.0882500 0.0505509 0.0212409 0.0027985 0.0006915 0.0014580 0.0017357
C7 0.0001646 0.0004699 0.0034954 0.0342500 0.4726520 0.0505509 3.8703339 0.4804473 0.0306950 0.0029177 0.0181261 0.0000240
C8 0.0000499 0.0000640 0.0004838 0.0046933 0.0254605 0.0212409 0.4804473 3.9097332 0.4705540 0.0252703 0.0656689 0.0000088
C9 0.0000093 0.0000109 0.0001501 0.0008481 0.0051396 0.0027985 0.0306950 0.4705540 3.2202905 0.4843935 0.7138614 0.0000020
C10 0.0000031 0.0000012 0.0000131 0.0000828 0.0004519 0.0006915 0.0029177 0.0252703 0.4843935 4.0313397 0.0709225 0.0000009
O11 0.0000074 0.0000186 0.0001349 0.0008576 0.0033075 0.0014580 0.0181261 0.0656689 0.7138614 0.0709225 8.1629032 0.0000017
